Quel chroniqueur TV se plaint sans cesse de la malbouffe;Jean-Pierre Coffe
Quel agriculteur français se bat contre la mondialisation et la malbouffe;José Bové
Quel association ecologique se bat contre les pollutions;Greenpeace
Combien y a t-il de lettres dans cette question;38
Quel est le nom francais de ce caractère : &;éperluette
Combien de jours comporte une année bissextile;366
Quelle est la capacité d'une disquette 3 pouces 1/2 Haute Densité  (___ Mo);1,44
Quelle méthode permet d'insérer ou de modifier des gènes d'un organisme supérieur;la Transgenèse
Comment qualifie-t-on un système d'exploitation permettant à plusieurs processus de s'exécuter simultanément;Multitâche
Quel est le nom de l'élément 'H';Hydrogène
Quel est le métier de Marcello Mastroianni dans La Dolce Vita;Reporter
L'écrivain russe et communiste convaincu Maxime Gorki a passé 6 ans à Sorrento en Italie, pour cause de ...;mauvaise santé
Qui est l'actrice principale du film le silence des agneaux;Jodie Foster
Complétez ces vers d'Arthur Rimbaud : Elle est retrouvée... Quoi;L'Eternité
les Palantiri servait à établir une communication entre deux ___;forteresses
Jusqu'à quelle altitude peut-on rencontrer la saltice  (___ mètres);6 000
A quelle vitesse vole une libéllule  (__ km/h);45
Les lynx vivent-ils seuls ou en bande;seuls
Le lézard ocellé vit-il en solitaire, en couple ou en groupe;en couple
Quelle est la contenance d'un Réhoboam de Champagne  (___ litres);4,5
Comment surnomme-t-on l'axe européen des plus fortes densités de population, d'industrie et de services;la banane bleue
Quelle fut la première cité Etrusque à tomber sous la domination Romaine;Veies
En quelle année le Louvre est-il devenu un musée;1793
Qui était le père d'Iphigénie;Agamemnon
Quel pourcentage de la population les pieds-noirs représentaient-ils en Algérie;10
Comment s'appelle le centurion du camp de Babaorum dans Astérix en Corse;Gazpachoandalus
Que signifie la devise de la Syldavie : eih bennek, eih blavek;qui s'y frotte, s'y pique
De qui est cette réplique de Friends: C'étaient des vaches en forme de fauteuil, elles n'auraient jamais survécu en liberté;Chandler
Comment s'appelle le premier petit ami de Jack Mcfee (qui ne dura pas longtemps) dans Dawson Creek;Ethan
Dans la théorie musicale des Grecs, comment s'appelle le quart de ton;Diésis
Quel disciple de Jésus coupa l'oreille du serviteur Malchus;Pierre
Durant le pontificat de quel pape eut lieu le schisme anglican d'Henri VIII;Clément VII
Quel Gène est le plus utilisé comme Gène rapporteur dans les Cconstructions Moléculaires;la Beta-Galactosidase
Quelle était la nationalité du savant Alfred Bernhard Nobel;Suédoise
En quelle année l'égalité professionnelle entre homme et femme français a été reconnue officiellement;1983
En compétition, quelle est la hauteur maximum réglementaire du talon des chaussures des haltérophiles  (__ cm);4
En quelle année la coupe du monde de football a-t-elle eu lieu en Suisse;1954
Quelle a été la meilleure défense du championnat de France de rugby 1998-1999;Toulouse
Dans quel film entend-on la célèbre Chanson de Lara;Docteur Jivago
Comment s'appelle l'oeuvre écrite par Dante Alighieri;La Divine Comédie
Comment se nomme le poète comique le plus connu de l'Antiquité;Aristophane
Quel est le nom du plus jeune des Ents;Vifsorbier
A quel âge un chat peut-il être castré;8 mois
Combien y a-t-il d'espèces de coccinelles;90
Depuis quelle année les hérons sont-ils protégés en France;1975
Quel est le régime alimentaire du gavial, un crocodile d'Asie;piscivore
Quelle est la superficie du Liechtenstein  (___ km²);159
Quel empereur romain est le fondateur de la dynastie des Antonins;Nerva
Grâce à qui Napoléon put-il prendre la tête de l'armée d'Italie en 1796;Barras
Clio était la Muse de;l'histoire
Completez: This strike will make things ___ difficult for me. (the most,all the more,moreover);all the more
Complétez: It is ... to take this decision.;up to you
Complétez: You haven't yet told me ... of these books you prefer.;which
Quel est le titre honorifique de Pacôme de Champignac, l'un des fidèles amis de Spirou;Comte
A quel numéro de la rue du vol à voile Nestor Halambique habite-t-il;24
Quel personnage de la série Friends raconte son rêve dans le premier épisode de la première saison;Chandler
Quel Opéra la Callas n'a-t-elle pas enregistré intégralement;Louise
En quelle année la presse a-t-elle annoncé la mort de Johnny;1981
Quel fut le dernier pape non italien avant Jean-Paul II;Adrien VI
Quelle est la Protéine majoritairement présente dans les Jonctions Communicantes;les Connexines
Qui a dit : Je deteste un certain socialisme parce qu'il a la haine de l'argent au lieu d'en avoir le mépris;Ramuz
Quel est le nombre de rongeurs présents au total dans les ménages français;2 millions
Quel animal était la mascotte des jeux de Moscou en 1980;un Ours
Combien d'équipes ont participé à la coupe du monde de football en 1934;16
En quelle année les 5 équipes du Tournoi des 5 Nations ont-elles terminé ex-aequo;1973
Il était Le Mal dans le premier délire de Terry Gilliam : Bandits, Bandits. C'est;David Warner
Comment écrit-on 99 en chiffre romain;XCIX
Quel est le pays de naissance du tennis;l'angleterre
Quel est la couleur du fond du chiffre 0 à la roulette;vert
Ou se touve le Rio Grande;Brésil
Quel est l'autre nom de la planete rouge;Mars
Quel est le nom des nuages formant des orages;le cumulo-nimbus
Les lettres A B C correspondent à quel chiffre d'un téléphone;2
Quel est le nom du dieu du soleil en Egypte;Râ
Quel est le prénom le plus souvent porté par les rois de France;Louis
Quelle est la planette la plus éloignée du soleil;Pluton
Combien y a t'il de Kilos dans une tonne;1000
Quelle région de France est célèbre pour sa bière;l'Alsace
Quelle est la boisson national du Mexique;La tequila
Quelle est la planete la plus proche du soleil;Mercure
Quel est l'indicatif téléphonique international de la France;33
Quel est le symbole chimique de l'or;Au
En surf comment appelle t'on l'intérieur de la vague;le tube
Quel sport réunit ski de fond et tir;le biathlon
